City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,288.02,67,40,10.8,PT,1701330432
1,vilyuchinsk,52.9306,158.4028,269.3,77,100,4.7,RU,1701330432
2,adamstown,-25.066,-130.1015,294.33,77,100,3.73,PN,1701330432
3,palmer,42.1584,-72.3287,272.86,60,100,2.57,US,1701330405
4,mubende,0.5606,31.39,299.9,41,56,2.49,UG,1701330432
5,bethel,41.3712,-73.414,274.32,59,75,0.0,US,1701330433
6,punta arenas,-53.15,-70.9167,279.21,70,40,10.29,CL,1701330433
7,codrington,-38.2667,141.9667,288.65,73,97,9.73,AU,1701330433
8,aasiaat,68.7098,-52.8699,271.43,82,100,3.04,GL,1701330433
9,korsun-shevchenkivskyi,49.4189,31.2587,270.87,78,10,4.81,UA,1701330433
10,grytviken,-54.2811,-36.5092,276.69,86,100,4.98,GS,1701330433
11,leava,-14.3,-178.1667,301.51,80,98,10.12,WF,1701330434
12,edinburgh of the seven seas,-37.0676,-12.3116,285.42,64,87,9.21,SH,1701330434
13,kourou,5.1552,-52.6478,297.18,90,69,2.85,GF,1701330233
14,petropavlovsk-kamchatsky,53.0452,158.6483,268.48,65,75,3.58,RU,1701330434
15,puerto natales,-51.7236,-72.4875,276.32,81,60,7.56,CL,1701330434
16,dudinka,69.4058,86.1778,250.82,99,89,1.18,RU,1701330434
17,port elizabeth,-33.918,25.5701,294.99,62,0,8.75,ZA,1701330434
18,isafjordur,66.0755,-23.124,276.17,65,75,4.63,IS,1701330435
19,kailua-kona,19.6406,-155.9956,298.13,98,75,1.54,US,1701330410
20,vadso,70.0744,29.7487,273.64,93,100,8.75,NO,1701330435
21,east london,-33.0153,27.9116,295.67,56,75,4.63,ZA,1701330435
22,riberalta,-10.9833,-66.1,295.64,98,100,0.99,BO,1701330436
23,waitangi,-43.9535,-176.5597,283.61,86,75,3.58,NZ,1701330436
24,panaba,21.2833,-88.2667,293.37,82,28,2.93,MX,1701330436
25,alta,69.9689,23.2717,271.74,83,75,6.17,NO,1701330436
26,zabol,32.25,67.25,286.05,26,0,6.09,AF,1701330436
27,afaahiti,-17.75,-149.2833,300.08,89,100,9.17,PF,1701330437
28,nyala,12.05,24.8833,302.38,17,90,8.7,SD,1701330437
29,fereydunshahr,32.941,50.121,283.04,13,0,0.85,IR,1701330437
30,thompson,55.7435,-97.8558,251.24,71,0,4.63,CA,1701330437
31,ushuaia,-54.8,-68.3,276.96,93,100,4.63,AR,1701330437
32,colonia,50.9333,6.95,275.29,91,75,2.06,DE,1701330259
33,belmopan,17.25,-88.7667,296.36,100,100,0.49,BZ,1701330438
34,avarua,-21.2078,-159.775,297.18,83,20,3.6,CK,1701330415
35,sayat,38.7839,63.8803,280.08,32,13,2.95,TM,1701330438
36,puerto ayora,-0.7393,-90.3518,297.9,92,37,2.24,EC,1701330439
37,port-aux-francais,-49.35,70.2167,275.62,84,64,20.08,TF,1701330439
38,klyuchi,52.2667,79.1667,278.38,75,97,4.53,RU,1701330439
39,bandiagara,14.3501,-3.6104,301.27,14,8,4.01,ML,1701330439
40,dubbo,-32.25,148.6167,298.22,44,100,8.75,AU,1701330275
41,west island,-12.1568,96.8225,302.14,65,40,5.66,CC,1701330439
42,chibougamau,49.9168,-74.3659,268.94,93,100,4.63,CA,1701330440
43,yellowknife,62.456,-114.3525,255.6,89,75,1.54,CA,1701330183
44,alghero,40.5589,8.3181,291.2,94,40,8.75,IT,1701330440
45,kodiak,57.79,-152.4072,274.88,93,100,6.17,US,1701330441
46,burhanuddin,22.4918,90.7235,300.46,53,3,3.79,BD,1701330441
47,tura,25.5198,90.2201,300.17,43,0,0.75,IN,1701330441
48,vorgashor,67.5833,63.95,256.39,96,14,2.33,RU,1701330441
49,flying fish cove,-10.4217,105.6791,300.97,69,75,4.63,CX,1701330441
50,labuan bajo,-8.4964,119.8877,302.43,74,72,0.97,ID,1701330442
51,whitehorse,60.7161,-135.0538,264.58,78,100,7.72,CA,1701330442
52,pisco,-13.7,-76.2167,291.49,88,0,3.09,PE,1701330442
53,kelibia,36.8476,11.0939,288.29,82,0,1.54,TN,1701330442
54,stanley,54.868,-1.6985,274.13,90,40,1.54,GB,1701330442
55,tiksi,71.6872,128.8694,249.39,93,100,10.68,RU,1701330443
56,chegdomyn,51.1167,133.0167,250.7,94,38,0.73,RU,1701330443
57,blackmans bay,-43.0167,147.3167,288.0,68,97,0.45,AU,1701330443
58,sambava,-14.2667,50.1667,302.38,69,33,4.35,MG,1701330443
59,hawaiian paradise park,19.5933,-154.9731,297.88,96,75,2.57,US,1701330443
60,rio grande,-32.035,-52.0986,293.68,93,94,2.72,BR,1701330444
61,margaret river,-33.95,115.0667,295.4,60,76,7.26,AU,1701330444
62,port alfred,-33.5906,26.891,293.81,71,74,4.47,ZA,1701330444
63,grand falls-windsor,48.9332,-55.6649,268.99,83,9,0.89,CA,1701330444
64,fort mcmurray,56.7268,-111.381,271.92,80,100,5.14,CA,1701330319
65,hithadhoo,-0.6,73.0833,301.3,76,97,6.87,MV,1701330444
66,enewetak,11.3474,162.3373,300.9,79,100,9.17,MH,1701330445
67,turinsk,58.0458,63.696,269.23,86,100,3.25,RU,1701330445
68,aykhal,66.0,111.5,260.18,94,100,9.47,RU,1701330445
69,uturoa,-16.7333,-151.4333,300.32,83,100,9.08,PF,1701330445
70,kuqa,41.7278,82.9364,279.94,29,61,1.0,CN,1701330446
71,papatowai,-46.5619,169.4708,281.81,80,39,3.78,NZ,1701330446
72,lerwick,60.1545,-1.1494,277.15,66,77,7.54,GB,1701330446
73,iqaluit,63.7506,-68.5145,270.0,68,40,11.32,CA,1701330446
74,ormara,25.2088,64.6357,298.63,53,1,0.99,PK,1701330446
75,talnakh,69.4865,88.3972,252.59,100,91,1.95,RU,1701330447
76,anamur,36.0751,32.8369,289.73,71,96,2.06,TR,1701330447
77,umm kaddadah,13.6017,26.6876,302.03,15,98,9.26,SD,1701330447
78,taroa,8.7058,171.2275,301.16,76,87,8.15,MH,1701330447
79,krasnyy chikoy,50.3643,108.7512,261.28,86,100,0.77,RU,1701330447
80,weno,7.4515,151.8468,303.12,74,40,3.6,FM,1701330448
81,nova sintra,14.8667,-24.7167,294.78,75,100,2.53,CV,1701330448
82,port saint john's,-31.6229,29.5448,295.02,50,3,4.31,ZA,1701330448
83,iskateley,67.6803,53.1512,263.16,96,99,3.13,RU,1701330448
84,sitka,57.0531,-135.33,281.09,57,100,10.8,US,1701330449
